İstasyon Adı,Ortalama AQI
Sarıyer,26.711909353905497
Esenler,31.290963030579643
Bahçelievler,36.609391184255955
Beylikdüzü,39.4643751422718
Ümraniye,29.7875014280818
Fatih,38.212086659064994
Beşiktaş,28.04237867395762
Kadıköy,28.971953027020863
Sultangazi,48.57816540477577
Avcılar,29.202595037559753
Üsküdar,25.062542720437456
Eyüpsultan,37.04040519007512
Küçükçekmece ,65.46188902814174
Kağıthane,46.7515393386545
Kartal,36.235408116735066
Bağcılar,38.659685863874344
Adalar,21.8728
Sancaktepe,43.09060899260103
Arnavutköy,29.73571591167767
Tuzla,41.09867971773276
Ataşehir,29.7875014280818
Bakırköy,36.609391184255955
Bayrampaşa,31.290963030579643
Başakşehir,48.57816540477577
Beykoz,26.711909353905497
Beyoğlu,28.04237867395762
Büyükçekmece,39.4643751422718
Çatalca,29.73571591167767
Çekmeköy,29.7875014280818
Esenyurt,39.4643751422718
Gaziosmanpaşa,37.04040519007512
Güngören,36.609391184255955
Maltepe,36.235408116735066
Pendik,36.235408116735066
Silivri,39.4643751422718
Sultanbeyli,43.09060899260103
Şile,43.09060899260103
Şişli,28.04237867395762
Zeytinburnu,38.212086659064994
