ILCE,alan_metrekare
ADALAR,51158.82954963867
ARNAVUTKÖY,64545.19212578033
ATAŞEHİR,652554.3498556783
AVCILAR,758438.617676303
BAHÇELİEVLER,172658.04112394387
BAKIRKÖY,2698483.5680299588
BAYRAMPAŞA,741978.3363974248
BAĞCILAR,755789.6782663013
BAŞAKŞEHİR,1976024.6654511546
BEYKOZ,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233
BEYOĞLU,508454.11097757774
BEŞİKTAŞ,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156
ESENLER,375489.4256326568
ESENYURT,1190145.7858799421
EYÜPSULTAN,7189930.516470695
FATİH,1857859.9336286236
GAZİOSMANPAŞA,204094.60721775488
GÜNGÖREN,29380.789241699124
KADIKÖY,860383.2664371255
KARTAL,1406194.225819459
KAĞITHANE,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354745
MALTEPE,2130674.198635165
PENDİK,2660127.4940079455
SANCAKTEPE,851191.7589597908
SARIYER,2743974.6658907183
SULTANBEYLİ,711311.9838774118
SULTANGAZİ,560013.4265267146
SİLİVRİ,4064999.079093968
TUZLA,3153689.0698800897
ZEYTİNBURNU,789642.239856637
ÇATALCA,1088806.6011754582
ÇEKMEKÖY,545283.4216504643
ÜMRANİYE,1448077.7828947406
ÜSKÜDAR,2357259.2624715716
ŞİLE,347167.07496639347
ŞİŞLİ,354780.26493224973
