ILCE,alan_metrekare
BEYOĞLU,12385.076522794296
KADIKÖY,111084.6703632238
BEYOĞLU,1425.4730912140176
TUZLA,10978.866991535571
MALTEPE,249055.6273653661
EYÜPSULTAN,59409.14384934383
MALTEPE,11327.01353937806
SANCAKTEPE,15990.017919244758
EYÜPSULTAN,3370.0987457739516
BEYKOZ,1639.5164994520385
BÜYÜKÇEKMECE,1469.5874366625296
KARTAL,3444.8323884293964
ÜSKÜDAR,16473.452784438407
BÜYÜKÇEKMECE,7029.254392275884
ESENYURT,1883.0088526584793
ESENYURT,5313.390144240214
BAKIRKÖY,660.2005232787179
SARIYER,3234.1044906589304
SULTANGAZİ,11485.14146765316
BEYOĞLU,257.45860709779265
SARIYER,5511.5534204643045
BAKIRKÖY,26269.703205544454
BAKIRKÖY,1895.0323145090092
ÜSKÜDAR,6183.793729371212
BAKIRKÖY,63453.07754105011
GAZİOSMANPAŞA,7631.535060962355
BEYKOZ,4496.8259798737945
ŞİLE,264.0972523394113
FATİH,5163.883733630256
FATİH,37827.90857725045
FATİH,4894.253728889966
ÜSKÜDAR,8041.458025548482
TUZLA,110220.6121431922
BEŞİKTAŞ,787.6860294521384
ÇATALCA,1015.6891865574166
BAĞCILAR,22389.562847852638
KÜÇÜKÇEKMECE,63374.8268672063
BAŞAKŞEHİR,2342.9123712238306
PENDİK,35676.14496403355
BAŞAKŞEHİR,24295.792866448857
PENDİK,9673.188972002532
TUZLA,373.85345303591157
PENDİK,780.1719692025167
BAKIRKÖY,1401.2810450970983
PENDİK,28222.77490912697
GAZİOSMANPAŞA,21358.0123844218
SİLİVRİ,373008.260131806
SARIYER,4966.516868880574
KARTAL,23088.94056598254
MALTEPE,4461.519041211456
FATİH,4607.871800451793
BEYLİKDÜZÜ,67731.22120567446
BAŞAKŞEHİR,5960.018928227577
FATİH,13170.809609406657
MALTEPE,7532.580619166628
MALTEPE,56016.607043052514
BEYLİKDÜZÜ,13006.308959466645
FATİH,4703.939300736401
KADIKÖY,41172.962565144844
PENDİK,109967.36051205132
ESENLER,2592.505085679092
ŞİLE,1204.1778192235142
ÇATALCA,122951.32658910216
ESENYURT,4018.4550067916675
BAKIRKÖY,4646.283245468872
ATAŞEHİR,8832.521808518415
KARTAL,7168.847739174928
ÜMRANİYE,22158.99520940251
BEYOĞLU,1269.3841853457986
PENDİK,132294.0282163262
BÜYÜKÇEKMECE,356703.16673312173
MALTEPE,9887.730465427561
PENDİK,581.4631307942573
BAKIRKÖY,63692.34272949752
BEYKOZ,2374.647820504263
