ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,3231.809459116489,54390.63900875516,0.0,51158.82954963867,12518.944096977568,63677.77364661624,0.0,51158.82954963867,827.0479393872716,51985.877489025945,0.0,51158.82954963867,9757.137296482313,60915.96684612098,25579.414774819335,76738.244324458,5691.549423865115,56850.378973503786,0.0,51158.82954963867,3182.4690318209755,54341.29858145965,25579.414774819335,76738.244324458,10300.721284152967,61459.55083379164,0.0,51158.82954963867,4805.4292820109695,55964.25883164964,0.0,51158.82954963867,5281.518908548593,56440.34845818726,0.0,51158.82954963867,904.8258156324655,52063.65536527114,25579.414774819335,76738.244324458,11030.958029921316,62189.78757955998,25579.414774819335,76738.244324458
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,31630.660201852756,96175.8523276331,0.0,64545.19212578033,32262.294875084757,96807.48700086509,32272.596062890167,96817.7881886705,32137.705787273935,96682.89791305427,32272.596062890167,96817.7881886705,32120.47706612308,96665.6691919034,32272.596062890167,96817.7881886705,32267.956030686193,96813.14815646653,0.0,64545.19212578033,32190.602776646985,96735.79490242733,32272.596062890167,96817.7881886705,32232.628421654423,96777.82054743476,32272.596062890167,96817.7881886705,32271.978683831065,96817.1708096114,32272.596062890167,96817.7881886705,32215.543838637714,96760.73596441804,32272.596062890167,96817.7881886705,32176.694815164952,96721.88694094529,32272.596062890167,96817.7881886705,32272.446986972922,96817.63911275326,0.0,64545.19212578033
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,134445.36022640573,786999.7100820839,0.0,652554.3498556783,136060.01324045588,788614.3630961342,0.0,652554.3498556783,70960.73217912503,723515.0820348033,0.0,652554.3498556783,194038.2658229814,846592.6156786596,0.0,652554.3498556783,45269.19420291546,697823.5440585937,0.0,652554.3498556783,13157.288191401834,665711.6380470801,0.0,652554.3498556783,101823.34488387944,754377.6947395577,326277.17492783914,978831.5247835175,76899.56178222642,729453.9116379047,0.0,652554.3498556783,134589.48991626035,787143.8397719386,0.0,652554.3498556783,218770.16843730633,871324.5182929846,326277.17492783914,978831.5247835175,102618.20043517696,755172.5502908552,0.0,652554.3498556783
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,8519.098663696863,766957.7163399999,379219.3088381515,1137657.9265144547,99194.57513576615,857633.1928120692,0.0,758438.617676303,35010.62078498247,793449.2384612855,0.0,758438.617676303,157812.247278448,916250.864954751,379219.3088381515,1137657.9265144547,2371.233150028104,760809.8508263312,0.0,758438.617676303,95076.70149183489,853515.3191681379,0.0,758438.617676303,82594.24494147695,841032.86261778,0.0,758438.617676303,69032.82084680352,827471.4385231065,0.0,758438.617676303,157670.87612079032,916109.4937970934,379219.3088381515,1137657.9265144547,188291.42254786543,946730.0402241684,0.0,758438.617676303,60721.94601791758,819160.5636942206,379219.3088381515,1137657.9265144547
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,85224.25024095402,257882.2913648979,86329.02056197193,258987.0616859158,85915.01937411318,258573.06049805705,0.0,172658.04112394387,86300.1022174399,258958.14334138378,0.0,172658.04112394387,85808.74478546169,258466.78590940556,86329.02056197193,258987.0616859158,85315.66717731,257973.70830125385,86329.02056197193,258987.0616859158,85409.55654074467,258067.59766468854,86329.02056197193,258987.0616859158,86227.79757438086,258885.83869832475,86329.02056197193,258987.0616859158,86263.62341385358,258921.66453779745,86329.02056197193,258987.0616859158,85622.91014544724,258280.9512693911,0.0,172658.04112394387,86225.83859193497,258883.87971587884,86329.02056197193,258987.0616859158,85861.85051818672,258519.8916421306,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,214.47133318864655,2698698.039363147,0.0,2698483.5680299588,1388.4053713820479,2699871.9734013407,0.0,2698483.5680299588,442.31373459259567,2698925.881764551,0.0,2698483.5680299588,3770.4778895175114,2702254.045919476,0.0,2698483.5680299588,203.17661822226583,2698686.744648181,0.0,2698483.5680299588,3934.2777775642157,2702417.845807523,0.0,2698483.5680299588,4734.576047569541,2703218.1440775283,0.0,2698483.5680299588,258.7447086332464,2698742.312738592,0.0,2698483.5680299588,35.138126502015275,2698518.7061564606,0.0,2698483.5680299588,2289.176184274447,2700772.744214233,0.0,2698483.5680299588,383.09908678995544,2698866.6671167486,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,97456.62576634865,839434.9621637735,0.0,741978.3363974248,99505.03549326767,841483.3718906925,0.0,741978.3363974248,64263.53483363466,806241.8712310594,0.0,741978.3363974248,79581.94401847007,821560.2804158949,0.0,741978.3363974248,64273.489314192346,806251.8257116171,370989.1681987124,1112967.5045961372,66535.98894054795,808514.3253379727,0.0,741978.3363974248,137927.30902117025,879905.645418595,54336.950775232144,796315.287172657,59237.68550468885,801216.0219021137,370989.1681987124,1112967.5045961372,88191.74683482367,830170.0832322484,0.0,741978.3363974248,107102.10171918126,849080.4381166061,0.0,741978.3363974248,45004.17992499792,786982.5163224228,35463.876857984775,777442.2132554096
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,149499.46159923062,905289.1398655319,0.0,755789.6782663013,78820.38988819104,834610.0681544923,377894.83913315064,1133684.517399452,301970.6315721765,1057760.3098384778,377894.83913315064,1133684.517399452,186953.6624257799,942743.3406920813,0.0,755789.6782663013,197752.7275697454,953542.4058360467,0.0,755789.6782663013,315108.24980210356,1070897.9280684048,0.0,755789.6782663013,316483.60347965505,1072273.2817459563,0.0,755789.6782663013,249483.97180235735,1005273.6500686586,377894.83913315064,1133684.517399452,273564.660290194,1029354.3385564953,0.0,755789.6782663013,374301.23568762856,1130090.91395393,377894.83913315064,1133684.517399452,315031.5825723236,1070821.260838625,0.0,755789.6782663013
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,163870.10550396726,2139894.7709551216,0.0,1976024.6654511543,64886.873448821316,2040911.5388999756,0.0,1976024.6654511543,6133.03740384951,1982157.7028550038,0.0,1976024.6654511543,28405.23409371868,2004429.899544873,0.0,1976024.6654511543,93152.48683979231,2069177.1522909466,0.0,1976024.6654511543,13263.246570801482,1989287.912021956,0.0,1976024.6654511543,160148.84797845315,2136173.5134296073,0.0,1976024.6654511543,18893.00187802686,1994917.6673291812,0.0,1976024.6654511543,34552.02260627669,2010576.688057431,0.0,1976024.6654511543,43918.13739226507,2019942.8028434194,0.0,1976024.6654511543,4074.534217973804,1980099.199669128,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,0.4254854824969275,1651524.1496375985,0.0,1651523.724152116,1800.303610213137,1653324.0277623292,0.0,1651523.724152116,2936.765139514497,1654460.4892916307,0.0,1651523.724152116,58.423265961559984,1651582.1474180776,0.0,1651523.724152116,34985.04371584265,1686508.7678679586,0.0,1651523.724152116,377.38359931021114,1651901.1077514263,0.0,1651523.724152116,12813.666043627625,1664337.3901957436,0.0,1651523.724152116,22384.076289282675,1673907.8004413988,0.0,1651523.724152116,28418.868401165128,1679942.5925532812,0.0,1651523.724152116,149.4127143276308,1651673.1368664438,0.0,1651523.724152116,205.4182750857954,1651729.1424272018,0.0,1651523.724152116
