ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Ti_raw,Yeni_Yapilacak_Yesil_Alan_GA,Toplam_Yesil_Alan_GA,Yeni_Yapilacak_Yesil_Alan_PSO,Toplam_Yesil_Alan_PSO
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,0,6801.897456781868,57960.72700642054,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,216,31813.387007880236,96358.57913366056,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,338,59178.789568683875,711733.1394243621,0.0,652554.3498556783
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,169,130849.83994059273,889288.4576168958,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,272,84790.98749156138,257449.02861550526,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,257,203.3012217985285,2698686.8692517574,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,148,79030.58861421641,821008.9250116412,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,368,244872.5801061131,1000662.2583724144,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,337,2738.5407159437327,1978763.2061670981,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,268,4235.040598575056,1655758.7647506911,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,240,171305.1169978562,1027834.0203899795,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,118,38335.16651223467,546789.2774898125,254227.05548878887,762681.1664663666
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,101,8194.777410875842,1166543.697425882,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,289,1021.7239087555736,2570659.6047119116,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,163,96992.98828498894,472482.4139176457,0.0,375489.4256326568
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,295,66693.02771428239,1256838.8135942244,595072.892939971,1785218.678819913
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,366,1230.4823624455234,7191160.99883314,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,100,1557.3188746885664,1859417.2525033127,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,203,101827.6064525943,305922.21367034916,0.0,204094.60721775488
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,163,14690.341384148094,44071.13062584722,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,291,83494.4820225565,943877.748459682,0.0,860383.2664371255
