ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,2045.0670536706693,53203.89660330934,25579.414774819335,76738.244324458,6986.013899400859,58144.84344903953,0.0,51158.82954963867,5769.44630488372,56928.27585452239,0.0,51158.82954963867,4324.9616134902735,55483.791163128946,25579.414774819335,76738.244324458,11160.082544775221,62318.91209441389,0.0,51158.82954963867,4488.943467271743,55647.77301691042,0.0,51158.82954963867,5560.718553255891,56719.548102894565,0.0,51158.82954963867,8774.169287894578,59932.99883753325,0.0,51158.82954963867,3131.4781572426773,54290.30770688135,0.0,51158.82954963867,7669.022980458972,58827.85253009764,0.0,51158.82954963867,3506.771005220381,54665.600554859055,25579.414774819335,76738.244324458
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,32267.96612280853,96813.15824858886,32272.596062890167,96817.7881886705,32078.988994411422,96624.18112019176,0.0,64545.19212578033,31693.7458288239,96238.93795460423,32272.596062890167,96817.7881886705,32221.23598348254,96766.42810926287,32272.596062890167,96817.7881886705,32197.50854001041,96742.70066579075,32272.596062890167,96817.7881886705,32272.27179144883,96817.46391722916,32272.596062890167,96817.7881886705,32268.40222934319,96813.59435512353,32272.596062890167,96817.7881886705,32272.392175661953,96817.58430144229,0.0,64545.19212578033,32272.45150305127,96817.6436288316,32272.596062890167,96817.7881886705,32055.670768275286,96600.86289405562,0.0,64545.19212578033,32272.54077086233,96817.73289664267,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,32763.685798214436,685318.0356538927,0.0,652554.3498556783,131894.97759410905,784449.3274497873,326277.17492783914,978831.5247835175,247266.37041999708,899820.7202756754,326277.17492783914,978831.5247835175,89509.09987721257,742063.4497328908,325091.6204678162,977645.9703234944,83104.17536439578,735658.525220074,0.0,652554.3498556783,176781.10986210295,829335.4597177813,326277.17492783914,978831.5247835175,81209.2370429189,733763.5868985972,0.0,652554.3498556783,189842.0890845749,842396.4389402531,0.0,652554.3498556783,180133.4656518592,832687.8155075375,326277.17492783914,978831.5247835175,137727.26093276992,790281.6107884482,326277.17492783914,978831.5247835175,166927.994772787,819482.3446284652,0.0,652554.3498556783
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,24598.182203927558,783036.7998802306,304431.4509937251,1062870.0686700281,105141.87967034262,863580.4973466457,379219.3088381515,1137657.9265144547,63283.84684084477,821722.4645171477,379219.3088381515,1137657.9265144547,26677.815594057724,785116.4332703607,0.0,758438.617676303,165245.225823474,923683.843499777,231545.593432896,989984.2111091991,47772.080529418075,806210.6982057211,379219.3088381515,1137657.9265144547,54604.397272646864,813043.0149489499,0.0,758438.617676303,77082.54903655584,835521.1667128588,0.0,758438.617676303,123065.84320468626,881504.4608809893,209984.71568658832,968423.3333628913,218361.28410999663,976799.9017862997,0.0,758438.617676303,142148.04804393696,900586.66572024,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,86321.68463296533,258979.7257569092,86329.02056197193,258987.0616859158,85940.80269272492,258598.84381666878,86329.02056197193,258987.0616859158,85928.32499375528,258586.36611769913,86329.02056197193,258987.0616859158,85101.73235116768,257759.77347511155,86329.02056197193,258987.0616859158,85284.90541545625,257942.94653940012,86329.02056197193,258987.0616859158,86057.13424467007,258715.17536861394,0.0,172658.04112394387,86294.31402156095,258952.35514550481,0.0,172658.04112394387,86312.73164096105,258970.77276490492,86328.99570407292,258987.0368280168,86328.5052923617,258986.5464163056,86329.02056197193,258987.0616859158,86280.66364077565,258938.70476471953,0.0,172658.04112394387,85412.08708995908,258070.12821390294,0.0,172658.04112394387
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,497.21790430192743,2698980.7859342606,0.0,2698483.5680299588,24.44537236191854,2698508.0134023204,0.0,2698483.5680299588,6263.424183518123,2704746.992213477,0.0,2698483.5680299588,5.926503237468305,2698489.494533196,0.0,2698483.5680299588,1152.7291661227812,2699636.2971960814,0.0,2698483.5680299588,182.60671143903397,2698666.1747413976,0.0,2698483.5680299588,13033.56393038427,2711517.131960343,0.0,2698483.5680299588,30.746925625083698,2698514.314955584,0.0,2698483.5680299588,2118.022305792579,2700601.5903357514,0.0,2698483.5680299588,63.49781697720528,2698547.065846936,0.0,2698483.5680299588,5706.622915149808,2704190.1909451084,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,205905.90363378727,947884.2400312121,370989.1681987124,1112967.5045961372,131506.1623682115,873484.4987656362,0.0,741978.3363974248,112759.87414871618,854738.210546141,370989.1681987124,1112967.5045961372,116094.15217323942,858072.4885706642,0.0,741978.3363974248,218721.97956129393,960700.3159587188,0.0,741978.3363974248,17725.10560304438,759703.4420004692,0.0,741978.3363974248,118040.12407054388,860018.4604679687,0.0,741978.3363974248,83194.74087303408,825173.0772704589,0.0,741978.3363974248,43274.803092992326,785253.1394904171,0.0,741978.3363974248,142822.22418580213,884800.560583227,0.0,741978.3363974248,783.503774152699,742761.8401715775,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,152498.1440530019,908287.8223193032,377894.83913315064,1133684.517399452,364764.10579329816,1120553.7840595995,377894.83913315064,1133684.517399452,247597.36528807005,1003387.0435543713,377894.83913315064,1133684.517399452,245512.52074346802,1001302.1990097694,377894.83913315064,1133684.517399452,143276.0240168174,899065.7022831186,377894.83913315064,1133684.517399452,250565.83265213686,1006355.5109184382,377894.83913315064,1133684.517399452,246553.21524561188,1002342.8935119131,377894.83913315064,1133684.517399452,190923.31499163248,946712.9932579338,377894.73032070627,1133684.4085870076,199303.4019901014,955093.0802564027,377894.83913315064,1133684.517399452,273026.06620829226,1028815.7444745935,0.0,755789.6782663013,338996.0249153195,1094785.7031816207,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,4410.00478047254,1980434.6702316268,0.0,1976024.6654511543,127.31909386552401,1976151.98454502,0.0,1976024.6654511543,22856.806603006266,1998881.4720541607,0.0,1976024.6654511543,34787.61558955906,2010812.2810407134,0.0,1976024.6654511543,62338.49794856149,2038363.163399716,0.0,1976024.6654511543,11356.85414863929,1987381.5195997937,0.0,1976024.6654511543,3046.336499164183,1979071.0019503185,0.0,1976024.6654511543,9817.628590013415,1985842.2940411677,0.0,1976024.6654511543,5102.839273441914,1981127.5047245962,0.0,1976024.6654511543,65961.43930627625,2041986.1047574305,0.0,1976024.6654511543,22964.34942958152,1998989.014880736,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,469.07150389491676,1651992.795656011,0.0,1651523.724152116,13912.27819830621,1665436.0023504223,0.0,1651523.724152116,11815.439442818488,1663339.1635949346,0.0,1651523.724152116,198.57233573827415,1651722.2964878543,0.0,1651523.724152116,8157.617619737366,1659681.3417718534,0.0,1651523.724152116,3097.037460346252,1654620.7616124623,0.0,1651523.724152116,0.9898637788664028,1651524.714015895,0.0,1651523.724152116,4103.047241252504,1655626.7713933687,0.0,1651523.724152116,5375.892609604021,1656899.61676172,0.0,1651523.724152116,13480.273806031331,1665003.9979581474,0.0,1651523.724152116,10763.064421531577,1662286.7885736476,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,147376.44577346754,1003905.3491655908,0.0,856528.9033921233,166140.3922394082,1022669.2956315315,0.0,856528.9033921233,127635.20074422282,984164.1041363461,0.0,856528.9033921233,143708.21054051226,1000237.1139326355,428264.45169606165,1284793.355088185,220502.24482865463,1077031.148220778,0.0,856528.9033921233,58795.27284894702,915324.1762410703,0.0,856528.9033921233,124559.90107507221,981088.8044671955,0.0,856528.9033921233,99938.05821628612,956466.9616084094,0.0,856528.9033921233,15992.553512113045,872521.4569042363,247006.1661075118,1103535.0694996351,89974.69426609058,946503.5976582139,374107.1511526778,1230636.0545448011,23615.59665086559,880144.5000429889,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,3794.201833220937,512248.3128107987,0.0,508454.11097757774,17953.962648484878,526408.0736260626,0.0,508454.11097757774,65584.5334273403,574038.6444049181,0.0,508454.11097757774,27640.177403572805,536094.2883811506,0.0,508454.11097757774,133957.88290895146,642411.9938865292,254141.67480347358,762595.7857810513,8.231948654339822,508462.3429262321,254227.05548878887,762681.1664663666,67368.05454909077,575822.1655266685,0.0,508454.11097757774,40612.90248938719,549067.0134669649,254226.9822857057,762681.0932632834,150061.4983052023,658515.60928278,0.0,508454.11097757774,36547.696617136084,545001.8075947139,89092.87962539168,597546.9906029694,498.46490319343843,508952.57588077115,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,121.62230734768576,1158470.542322354,0.0,1158348.9200150063,6598.717032518537,1164947.6370475248,0.0,1158348.9200150063,37498.90531273524,1195847.8253277414,0.0,1158348.9200150063,2752.999268001957,1161101.9192830082,0.0,1158348.9200150063,14564.824882988247,1172913.7448979947,0.0,1158348.9200150063,6478.260894995101,1164827.1809100015,0.0,1158348.9200150063,3419.6078415729035,1161768.5278565793,0.0,1158348.9200150063,42008.891616524525,1200357.8116315308,0.0,1158348.9200150063,13918.489511117386,1172267.4095261237,0.0,1158348.9200150063,25165.726842747627,1183514.6468577539,0.0,1158348.9200150063,742.6317314652924,1159091.5517464716,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,1309.2878974907255,2570947.168700647,0.0,2569637.880803156,46.49753932104894,2569684.378342477,0.0,2569637.880803156,6672.395105306091,2576310.2759084622,0.0,2569637.880803156,380.872937065746,2570018.7537402217,0.0,2569637.880803156,1799.235809815024,2571437.1166129713,0.0,2569637.880803156,7460.800275852271,2577098.6810790086,0.0,2569637.880803156,1059.4381291609486,2570697.318932317,0.0,2569637.880803156,600.730226075033,2570238.611029231,0.0,2569637.880803156,1066.65889583737,2570704.5396989933,0.0,2569637.880803156,1945.742879618311,2571583.6236827746,0.0,2569637.880803156,45.54733579765096,2569683.4281389536,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,108578.79637507278,484068.2220077296,0.0,375489.4256326568,116385.61271402167,491875.0383466785,0.0,375489.4256326568,90744.25636237084,466233.68199502764,0.0,375489.4256326568,65360.18067422191,440849.6063068787,187744.7128163284,563234.1384489852,166383.98225730975,541873.4078899665,187744.7128163284,563234.1384489852,93233.81391586,468723.2395485168,187744.7128163284,563234.1384489852,95124.48811540347,470613.91374806024,187744.7128163284,563234.1384489852,121798.92409526804,497288.3497279248,0.0,375489.4256326568,76380.53231581823,451869.957948475,187744.7128163284,563234.1384489852,120286.84902172137,495776.2746543782,0.0,375489.4256326568,16724.140491123995,392213.5661237808,187744.7128163284,563234.1384489852
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,270180.8165442364,1460326.6024241783,595072.892939971,1785218.678819913,318300.36036639416,1508446.146246336,0.0,1190145.785879942,250431.71918640786,1440577.5050663496,0.0,1190145.785879942,411330.612677115,1601476.398557057,595072.892939971,1785218.678819913,390788.12578947406,1580933.911669416,0.0,1190145.785879942,407586.9298774308,1597732.7157573728,0.0,1190145.785879942,202017.22561894247,1392163.0114988843,595072.892939971,1785218.678819913,262965.50852395914,1453111.294403901,587793.2017523741,1777938.987632316,314386.14352470904,1504531.9294046508,0.0,1190145.785879942,205267.87229391,1395413.658173852,0.0,1190145.785879942,357366.0912361376,1547511.8771160794,0.0,1190145.785879942
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,201.1591182190361,7190131.675588914,0.0,7189930.516470695,41.45626482210594,7189971.972735517,0.0,7189930.516470695,1047.248264656235,7190977.764735351,0.0,7189930.516470695,1070.9901131070142,7191001.5065838015,0.0,7189930.516470695,3741.054181715471,7193671.57065241,0.0,7189930.516470695,300.97551424114647,7190231.491984936,0.0,7189930.516470695,9397.870734966054,7199328.387205661,0.0,7189930.516470695,4479.838412584933,7194410.35488328,0.0,7189930.516470695,1382.1114298428918,7191312.627900538,0.0,7189930.516470695,46.71132906439366,7189977.227799759,0.0,7189930.516470695,0.005652474414058732,7189930.522123169,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,2513.84024511225,1860373.7738737364,0.0,1857859.933628624,12136.0146124074,1869995.9482410315,0.0,1857859.933628624,8434.16305202953,1866294.0966806535,0.0,1857859.933628624,3189.4839288940047,1861049.417557518,0.0,1857859.933628624,3021.339104740213,1860881.2727333643,0.0,1857859.933628624,19080.053045712655,1876939.9866743367,0.0,1857859.933628624,14580.564998253132,1872440.498626877,0.0,1857859.933628624,14026.436907817937,1871886.370536442,0.0,1857859.933628624,17368.085950747627,1875228.0195793717,0.0,1857859.933628624,77.42466173145053,1857937.3582903554,0.0,1857859.933628624,21514.26730117009,1879374.2009297942,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,100823.61394866099,304918.22116641584,102047.30360887744,306141.9108266323,101989.70401048746,306084.31122824235,102047.30360887744,306141.9108266323,100044.21986221071,304138.8270799656,0.0,204094.60721775488,101854.93283546885,305949.5400532237,102047.30360887744,306141.9108266323,101441.39358432441,305536.0008020793,102047.30360887744,306141.9108266323,101188.58561228056,305283.19283003546,0.0,204094.60721775488,101140.26626395925,305234.8734817141,102047.30360887744,306141.9108266323,102037.00004256047,306131.60726031533,0.0,204094.60721775488,101431.25244554388,305525.85966329876,0.0,204094.60721775488,99398.3358479009,303492.94306565577,102047.30360887744,306141.9108266323,65799.966819108,269894.5740368629,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,14690.385453032039,44071.17469473116,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.394620849562,44071.183862548685,14690.38636531568,44071.175607014804,14690.394620849562,44071.183862548685,14690.38208589991,44071.17132759903,14690.394620849562,44071.183862548685,14690.39460989973,44071.18385159885,14690.394620849562,44071.183862548685,14690.372372152302,44071.16161385142,14690.394620849562,44071.183862548685,14690.377325803693,44071.16656750282,14690.390390842738,44071.17963254186,14690.393122970743,44071.18236466987,14690.394620849562,44071.183862548685,14690.271611574199,44071.060853273324,14690.394620849562,44071.183862548685,14690.340676001957,44071.12991770108,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,37399.29243304179,897782.5588701672,0.0,860383.2664371255,167042.7521998463,1027426.0186369718,0.0,860383.2664371255,177646.18821565277,1038029.4546527783,0.0,860383.2664371255,158191.2036539966,1018574.4700911221,430191.63321856275,1290574.8996556883,37019.321798504665,897402.5882356302,314671.8171219252,1175055.0835590507,41727.50462861877,902110.7710657443,0.0,860383.2664371255,110439.45670043756,970822.7231375631,430191.63321856275,1290574.8996556883,275608.29861182155,1135991.565048947,191341.11233889477,1051724.3787760204,76401.50687867765,936784.7733158031,385657.75268144626,1246041.0191185717,243878.51825712458,1104261.7846942502,430191.63321856275,1290574.8996556883,239975.08824497793,1100358.3546821035,0.0,860383.2664371255
