ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,1.43026677359818e-10,51158.82954963882,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,54150.66333136032,118695.85545714066,54150.663331360396,118695.85545714073
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,147283.7955549476,799838.1454106258,147283.79555494804,799838.1454106263
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,102604.06940056408,861042.6870768671,102604.06940056445,861042.6870768674
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,144852.7326115201,317510.77373546397,144852.73261152027,317510.77373546414
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,1.0161622301403427e-10,2698483.5680299588,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,2.826745966113343e-10,741978.336397425,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,558118.324030217,1313908.0022965183,558118.324030219,1313908.0022965204
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,2.58434186585182e-10,1976024.6654511546,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,3.1955526808847396e-10,1651523.7241521163,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,9.661876676332205e-10,856528.9033921242,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,1.4711901914590656e-10,508454.1109775779,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,5.095701258028964e-11,1158348.9200150063,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,2.1720721770882266e-10,2569637.880803156,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,315019.6134252197,690509.0390578764,315019.61342522013,690509.0390578769
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,653876.4158752732,1844022.201755215,653876.4158752754,1844022.2017552173
