ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,315.78454927265545,51474.61409891133,0.0,51158.82954963867,8178.357543617471,59337.18709325614,0.0,51158.82954963867,552.3143274587034,51711.14387709738,0.0,51158.82954963867
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,32272.552595376477,96817.7447211568,32272.596062890167,96817.7881886705,32260.865764754293,96806.05789053463,32272.596062890167,96817.7881886705,32148.708113367684,96693.90023914802,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,324014.606399996,976568.9562556742,0.0,652554.3498556783,158431.67420034175,810986.02405602,0.0,652554.3498556783,115367.2882407475,767921.6380964258,326277.17492783914,978831.5247835175
AVCILAR,758438.617676303,440934.0,153,2,12,29.20259503755976,88187.44425455912,846626.0619308621,0.0,758438.617676303,20494.79435418811,778933.4120304912,0.0,758438.617676303,201374.14164735598,959812.759323659,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.60939118425596,86325.04121031397,258983.08233425784,86329.02056197193,258987.0616859158,86187.06077116447,258845.10189510835,86329.02056197193,258987.0616859158,86109.10443374804,258767.14555769193,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.60939118425596,1640.382572922495,2700123.950602881,0.0,2698483.5680299588,5.595033385238107,2698489.163063344,0.0,2698483.5680299588,14.556641246333218,2698498.124671205,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,167281.00001392484,909259.3364113497,370989.1681987124,1112967.5045961372,78500.93184425446,820479.2682416793,0.0,741978.3363974248,15962.10134845077,757940.4377458756,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.65968586387434,332446.3646476925,1088236.0429139938,377894.83913315064,1133684.517399452,185877.23986817303,941666.9181344743,0.0,755789.6782663013,251726.4298580904,1007516.1081243916,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,29999.84025469116,2006024.5057058455,0.0,1976024.6654511543,9368.612320600469,1985393.277771755,0.0,1976024.6654511543,12941.304067781175,1988965.9695189355,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,152.0361585561323,1651675.7603106722,0.0,1651523.724152116,19523.2426207637,1671046.9667728797,825761.862076058,2477285.586228174,14122.324086866101,1665646.0482389822,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,248.36051475155654,856777.2639068748,0.0,856528.9033921233,14523.558610414824,871052.4620025381,428264.45169606165,1284793.355088185,88160.00881653899,944688.9122086623,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,5188.112626699096,513642.22360427683,254227.05548878887,762681.1664663666,137294.6530161541,645748.7639937318,0.0,508454.11097757774,122336.82887170906,630790.9398492868,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,1017.2657540224012,1159366.1857690287,0.0,1158348.9200150063,1597.1691609960908,1159946.0891760024,0.0,1158348.9200150063,277.88142108249707,1158626.8014360887,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,11964.181158353034,2581602.0619615093,0.0,2569637.880803156,1188.165614223906,2570826.04641738,0.0,2569637.880803156,2213.4561536818364,2571851.336956838,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,91832.91288646484,467322.33851912164,0.0,375489.4256326568,134341.6933930685,509831.1190257253,187744.7128163284,563234.1384489852,82479.07474272986,457968.5003753867,0.0,375489.4256326568
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,176910.62001105765,1367056.4058909996,0.0,1190145.785879942,365825.51608423586,1555971.3019641778,0.0,1190145.785879942,160064.56386747662,1350210.3497474184,0.0,1190145.785879942
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,2136.019069948773,7192066.535540644,0.0,7189930.516470695,80.72843635098621,7190011.244907046,0.0,7189930.516470695,3.1988843716791164,7189933.715355067,0.0,7189930.516470695
FATİH,1857859.933628624,354472.0,14,27,32,38.212086659064994,2535.6939152348973,1860395.627543859,0.0,1857859.933628624,4185.28915379902,1862045.222782423,0.0,1857859.933628624,1497.168239479884,1859357.101868104,0.0,1857859.933628624
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,101781.22260945727,305875.82982721215,102047.30360887744,306141.9108266323,98937.21723600011,303031.824453755,102047.30360887744,306141.9108266323,101230.63114720065,305325.2383649555,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.60939118425596,14690.376776521545,44071.16601822067,14690.394620849562,44071.183862548685,14690.328821125117,44071.118062824244,14690.394620849562,44071.183862548685,14690.394620235336,44071.18386193446,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,110956.15086843913,971339.4173055646,0.0,860383.2664371255,76771.38690631828,937154.6533434438,0.0,860383.2664371255,185363.68662719207,1045746.9530643176,0.0,860383.2664371255
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,6481.869554139147,1412676.0953735982,0.0,1406194.225819459,267.79045426036373,1406462.0162737193,0.0,1406194.225819459,31731.118325529384,1437925.3441449883,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,30582.925282431057,1629530.5820588334,0.0,1598947.6567764024,126839.78328036796,1725787.4400567703,0.0,1598947.6567764024,29100.393779965503,1628048.050556368,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,166539.53124089047,1813313.8555763648,0.0,1646774.3243354743,33590.175778401135,1680364.5001138754,0.0,1646774.3243354743,289915.9702211359,1936690.2945566103,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,1707.407219404299,2132381.6058545695,0.0,2130674.198635165,66.5476589556098,2130740.746294121,0.0,2130674.198635165,12480.70094685766,2143154.899582023,0.0,2130674.198635165
PENDİK,2660127.494007945,749356.0,396,17,18,36.235408116735066,281.6729853474511,2660409.1669932925,0.0,2660127.494007945,119750.07342530342,2779877.5674332483,0.0,2660127.494007945,37558.492825705805,2697685.986833651,0.0,2660127.494007945
SANCAKTEPE,851191.7589597908,502077.0,206,6,5,43.09060899260103,153064.11639630984,1004255.8753561006,425595.8794798954,1276787.6384396863,96646.63253582655,947838.3914956173,425595.8794798954,1276787.6384396863,174487.54388147773,1025679.3028412685,0.0,851191.7589597908
SARIYER,2743974.6658907183,342582.0,335,7,32,26.711909353905497,1887.3719982379364,2745862.0378889563,0.0,2743974.6658907183,748.9419895824551,2744723.607880301,0.0,2743974.6658907183,9875.517593121196,2753850.1834838395,0.0,2743974.6658907183
