İlçe,Durak Sayısı
Arnavutköy,204
Ataşehir,293
Avcılar,153
Bahçelievler,240
Bakırköy,191
Bayrampaşa,132
Bağcılar,319
Başakşehir,296
Beykoz,260
Beylikdüzü,233
Beyoğlu,75
Beşiktaş,31
Büyükçekmece,273
Esenler,138
Esenyurt,277
Eyüpsultan,300
Fatih,14
Gaziosmanpaşa,180
Güngören,144
Kadıköy,175
Kartal,266
Kağıthane,182
Küçükçekmece,312
Maltepe,228
Pendik,396
Sancaktepe,206
Sarıyer,335
Silivri,264
Sultanbeyli,147
Sultangazi,143
Tuzla,241
Zeytinburnu,195
Çatalca,80
Çekmeköy,96
Ümraniye,389
Üsküdar,296
Şile,153
Şişli,68
