ILCE,alan_metrekare
BEYOĞLU,12385.076522812378
KADIKÖY,111084.67036322893
BEYOĞLU,1425.473091218883
TUZLA,10978.866991572679
MALTEPE,249055.6273653394
EYÜPSULTAN,59409.14384928534
MALTEPE,11327.013539399135
SANCAKTEPE,15990.017919232525
EYÜPSULTAN,3370.0987457658503
BEYKOZ,1639.5164994681845
BÜYÜKÇEKMECE,1469.587436617006
KARTAL,3444.8323884140373
ÜSKÜDAR,16473.45278440217
BÜYÜKÇEKMECE,7029.254392199393
ESENYURT,1883.0088526544516
ESENYURT,5313.390144260576
BAKIRKÖY,660.2005232808542
SARIYER,3234.1044906704633
SULTANGAZİ,11485.141467651381
BEYOĞLU,257.45860709819016
SARIYER,5511.553420459883
BAKIRKÖY,26269.70320553952
BAKIRKÖY,1895.0323145082552
ÜSKÜDAR,6183.793729357114
BAKIRKÖY,63453.07754096335
GAZİOSMANPAŞA,7631.53506093969
BEYKOZ,4496.825979844104
ŞİLE,264.0972523372677
FATİH,5163.883733575678
FATİH,37827.908577241156
FATİH,4894.253728873142
ÜSKÜDAR,8041.458025537563
TUZLA,110220.612143309
BEŞİKTAŞ,787.6860294578311
ÇATALCA,1015.689186559952
BAĞCILAR,22389.562847830184
KÜÇÜKÇEKMECE,63374.826867139695
BAŞAKŞEHİR,2342.912371222965
PENDİK,35676.14496401967
BAŞAKŞEHİR,24295.79286645998
PENDİK,9673.188971983996
TUZLA,373.8534530436423
PENDİK,780.1719691557539
BAKIRKÖY,1401.2810451029272
PENDİK,28222.774909046893
GAZİOSMANPAŞA,21358.01238443484
SİLİVRİ,373008.2601320303
SARIYER,4966.516868885402
KARTAL,23088.940565975758
MALTEPE,4461.519041215169
FATİH,4607.871800458825
BEYLİKDÜZÜ,67731.22120566019
BAŞAKŞEHİR,5960.018928243634
FATİH,13170.809609441409
MALTEPE,7532.58061914571
MALTEPE,56016.607042905394
BEYLİKDÜZÜ,13006.308959524467
FATİH,4703.939300752344
KADIKÖY,41172.962565061316
PENDİK,109967.36051186585
ESENLER,2592.5050856725084
ŞİLE,1204.1778192281147
ÇATALCA,122951.32658904043
ESENYURT,4018.4550067803107
BAKIRKÖY,4646.283245514425
ATAŞEHİR,8832.521808532465
KARTAL,7168.8477391628385
ÜMRANİYE,22158.995209541998
BEYOĞLU,1269.3841853505653
PENDİK,132294.02821630982
BÜYÜKÇEKMECE,356703.16673282103
MALTEPE,9887.73046536607
PENDİK,581.4631307936921
BAKIRKÖY,63692.3427294865
BEYKOZ,2374.6478205132976
SARIYER,15166.986403235831
FATİH,105608.61040337083
EYÜPSULTAN,22909.968510545204
ZEYTİNBURNU,5329.075623748684
ŞİŞLİ,144405.42147586064
ÜMRANİYE,10941.352326852424
GÜNGÖREN,24234.69628030079
EYÜPSULTAN,3860.916680833812
ŞİŞLİ,140.81077003746287
BEYKOZ,13849.032137638802
MALTEPE,287951.47517664375
ÇEKMEKÖY,3032.1945644551656
PENDİK,5187.014340620039
BAKIRKÖY,3797.3721596325995
ESENLER,494.45130769147954
BEYOĞLU,3966.530448463199
SİLİVRİ,22252.141040920575
ZEYTİNBURNU,12913.512959869251
BAKIRKÖY,6356.905257306291
BAKIRKÖY,5016.809272014458
BEYKOZ,3885.0714777541484
FATİH,12660.457528743624
PENDİK,3471.213617825722
BEYKOZ,10158.175236614035
ATAŞEHİR,30139.196589972977
BAKIRKÖY,4338.541866971761
KAĞITHANE,1209.2830681752712
BEYOĞLU,6100.861607578947
ŞİŞLİ,56711.42350120548
PENDİK,2443.379206918232
ŞİLE,327.5830594350352
BAĞCILAR,106197.47561782293
ÇATALCA,18456.81555728268
BAĞCILAR,1356.6013329940447
BAYRAMPAŞA,17081.681682681163
ÜSKÜDAR,23571.664797969435
BAHÇELİEVLER,24436.869976392565
BAKIRKÖY,5807.8154791881825
ŞİLE,2337.1712582852206
BAŞAKŞEHİR,38809.85509064642
BAKIRKÖY,1379.9494689266364
SANCAKTEPE,5321.575886722543
ŞİLE,1853.0534646778142
EYÜPSULTAN,15516.603159183815
FATİH,33967.60027071932
EYÜPSULTAN,38395.90527216985
EYÜPSULTAN,118959.29281884199
BEYKOZ,25112.786741291668
BEYOĞLU,15295.407082762798
BEYLİKDÜZÜ,1142.9169110803603
SULTANBEYLİ,1101.8412031241262
PENDİK,565.7120284781907
TUZLA,17135.61163207321
ÜMRANİYE,252.8576842088338
ÜMRANİYE,73712.49861596664
BEYKOZ,140661.09314804434
SARIYER,5045.359187147951
ÜMRANİYE,4963.837924236179
FATİH,1237.7217570538146
BAKIRKÖY,7383.975195350747
BEYLİKDÜZÜ,3256.1824898470522
PENDİK,3145.874612281382
SULTANGAZİ,15949.862813270925
ŞİLE,303.85202528574996
ÇATALCA,44441.87289592836
BAKIRKÖY,1220.4693251272038
ÇATALCA,14962.337120132725
ÇATALCA,23703.087579046274
ÇATALCA,29999.07003411905
ÇATALCA,29999.66239142167
ÇATALCA,33002.56483814753
ÇATALCA,29949.87565806286
ÇATALCA,72228.53271302459
PENDİK,61416.86471220506
ESENLER,10379.880864142653
EYÜPSULTAN,6339.368269890124
BAYRAMPAŞA,27688.550975543818
PENDİK,160453.58166378358
KARTAL,36470.91405439989
EYÜPSULTAN,26016.912142136676
ÜSKÜDAR,811.4275663663485
BÜYÜKÇEKMECE,100800.9264940009
PENDİK,12258.804502846531
BEYLİKDÜZÜ,63038.29245570602
EYÜPSULTAN,19270.894220626382
MALTEPE,80866.22396062681
ADALAR,117.89767244742322
ADALAR,88.8024680548059
ADALAR,382.46588459506717
ADALAR,279.71618511982786
SANCAKTEPE,10457.716403023987
KARTAL,18935.065995395573
BAKIRKÖY,4426.394261706135
ADALAR,856.9772971249704
BEYOĞLU,4215.960033444515
BEYOĞLU,392.1340675025793
BEYOĞLU,1850.6224398776903
ADALAR,111.84966589509507
TUZLA,100135.23205035055
BEŞİKTAŞ,734.2137829776835
ADALAR,46.28437550704042
BAHÇELİEVLER,74917.7561706833
ADALAR,1020.4940595044428
ADALAR,185.79361402034465
ADALAR,33.30749587766848
ADALAR,521.4933326925087
BEYKOZ,801.133588834217
ÜMRANİYE,40491.1042385569
SARIYER,427605.81898938894
BEYKOZ,2763.264465449505
KÜÇÜKÇEKMECE,74950.48323493745
PENDİK,52494.54273430654
AVCILAR,3061.807489766479
KÜÇÜKÇEKMECE,7430.624406109899
EYÜPSULTAN,6669.897056452115
ŞİLE,108.97332909116028
BAHÇELİEVLER,3462.2574091898155
PENDİK,398.8659003324387
BAŞAKŞEHİR,96034.97430428742
PENDİK,425.95583396716734
ŞİŞLİ,5255.1415527542
KARTAL,144840.1840456715
BAĞCILAR,16547.09725397813
MALTEPE,6392.094247237013
FATİH,20046.883742250822
FATİH,70759.10045166359
BEYOĞLU,84700.9607683576
ŞİLE,822.1537669157921
ÜMRANİYE,17350.08069361315
PENDİK,52266.31249684146
FATİH,10381.015450570525
SARIYER,5275.954039081191
ŞİLE,693.4131067756942
SULTANGAZİ,90140.40910020495
SANCAKTEPE,72400.22300086323
FATİH,11944.162546518677
ARNAVUTKÖY,9016.0198499422
BEŞİKTAŞ,42989.695456503076
SİLİVRİ,78607.07726646373
AVCILAR,3090.3595934278537
SİLİVRİ,38564.97789925683
BEŞİKTAŞ,258.0899008929683
ÜSKÜDAR,7231.2092803532305
KÜÇÜKÇEKMECE,32003.27370737092
FATİH,36234.24221642396
BAĞCILAR,2779.3066294640325
SARIYER,6619.571273838564
ŞİLE,666.0535809225183
BEYOĞLU,7524.32903504658
KÜÇÜKÇEKMECE,14295.620933257107
PENDİK,360.0355604484688
FATİH,1372.818335403222
ŞİLE,515.243346297108
TUZLA,456606.30958359403
EYÜPSULTAN,8482.295940775733
BAĞCILAR,4739.790607737509
KADIKÖY,19826.172298028094
KADIKÖY,31079.074872668003
BEŞİKTAŞ,17458.67466942517
BEYKOZ,880.774365083588
PENDİK,101833.5039697148
PENDİK,11266.319114768045
PENDİK,34861.76333721352
SARIYER,4370.495630926759
ÇATALCA,311740.6800736709
BAKIRKÖY,181473.0308145789
BEYKOZ,769.7497430241823
MALTEPE,14200.733297825294
BAKIRKÖY,2010.2040711311452
BAKIRKÖY,18847.44270317468
BEYOĞLU,6242.484853453926
PENDİK,16221.28495486635
PENDİK,676.2243597098646
ADALAR,852.6812470687153
FATİH,1425.2268740921668
PENDİK,574.1430828953762
ESENLER,10645.17795383754
KARTAL,7949.9311499828245
SARIYER,12948.324926570876
SARIYER,73604.4311744278
ÇATALCA,9808.64580517376
ÜMRANİYE,682.3765820582403
BEYLİKDÜZÜ,96671.70080837497
SULTANBEYLİ,2787.867139502553
ŞİŞLİ,10097.523473076511
ATAŞEHİR,102831.53136300933
KAĞITHANE,164257.69676141685
SARIYER,29188.79876127645
BEYOĞLU,4910.877015359126
KAĞITHANE,4736.621125120022
EYÜPSULTAN,49420.8888969163
BEYOĞLU,1681.4718532566503
ŞİLE,1975.7659393321549
EYÜPSULTAN,8797.621698404071
BAHÇELİEVLER,674.8267216726498
ÜSKÜDAR,163133.63374303246
ESENYURT,8118.806315526704
BAĞCILAR,55106.64833883173
EYÜPSULTAN,300.4448843536496
ŞİLE,972.9320311104077
KAĞITHANE,16892.034581655127
ÜSKÜDAR,2489.3920193806985
SARIYER,4222.344427787499
BEYOĞLU,30769.42951318445
ŞİLE,734.7135843323827
BAŞAKŞEHİR,6775.753279700479
PENDİK,17467.835605027863
FATİH,1951.1645053620236
KARTAL,5350.898732780127
BAKIRKÖY,25512.526437571236
SANCAKTEPE,95300.67070648988
ŞİLE,1094.8394384301346
KAĞITHANE,100520.29543343824
ŞİLE,2664.698217346517
BAŞAKŞEHİR,32899.17232045442
ÜMRANİYE,420.6801979883872
BAŞAKŞEHİR,586780.4895634579
BAKIRKÖY,28319.253657703404
BEYLİKDÜZÜ,5774.19778632816
ÜSKÜDAR,114851.42688235576
BEYKOZ,4213.912937853214
ŞİLE,1183.687346171061
BAKIRKÖY,644716.1727100807
ÜSKÜDAR,56446.01174641152
BEYOĞLU,8715.639122786222
BÜYÜKÇEKMECE,135039.6258580422
BAKIRKÖY,34690.76648758397
SANCAKTEPE,554.9495909447719
MALTEPE,26923.069630570986
SARIYER,2329.9758421198885
EYÜPSULTAN,30519.749899441238
FATİH,34764.41454379164
MALTEPE,24659.04917632687
BAĞCILAR,1233.039767740497
ARNAVUTKÖY,8797.158671855774
SİLİVRİ,36466.92305949534
FATİH,3904.4587040645415
KADIKÖY,13626.800821993489
KARTAL,7750.099812825281
ÜSKÜDAR,30813.026621122954
FATİH,10059.505706809194
ÜSKÜDAR,275.12153770444365
AVCILAR,11829.796937155204
BAŞAKŞEHİR,11359.452600448849
ARNAVUTKÖY,21597.894923246065
AVCILAR,183253.14636109892
ÜSKÜDAR,1157.5690935542198
BAŞAKŞEHİR,245345.13225624364
BAŞAKŞEHİR,13204.68544175668
SANCAKTEPE,1230.9430825320646
SİLİVRİ,231973.25079771283
SİLİVRİ,129830.48106530333
TUZLA,2063.9658509767273
BEYOĞLU,4503.024468922197
FATİH,13296.229567642438
KAĞITHANE,34339.49182491422
ŞİLE,2151.3150154017426
KARTAL,688.046021969277
SİLİVRİ,858206.6366775633
EYÜPSULTAN,1621963.413034314
BAŞAKŞEHİR,5259.529043571906
ŞİLE,876.5063502982059
ÇEKMEKÖY,43075.02156084333
BAYRAMPAŞA,18564.905206346397
SİLİVRİ,61070.58488246093
BEŞİKTAŞ,17331.65753870301
ŞİŞLİ,3165.9135793738233
TUZLA,11249.083696043865
KÜÇÜKÇEKMECE,1577.557217460558
KARTAL,1749.0394089003792
SİLİVRİ,201116.4419086826
ŞİLE,5535.9488398582
KAĞITHANE,8897.713313034186
ŞİLE,1714.8124906244402
KARTAL,9913.449470092179
PENDİK,61271.81227031246
KÜÇÜKÇEKMECE,4638.644984035951
BEYKOZ,8214.50413212848
MALTEPE,179.0861302621225
FATİH,55071.80672866728
ÜMRANİYE,17726.901813741017
ŞİLE,375.27349342416807
TUZLA,1605.5359153157988
ÜMRANİYE,5458.643321715995
BAKIRKÖY,175453.63147357575
KÜÇÜKÇEKMECE,103789.47446868269
ŞİLE,2843.8278050922
ÜSKÜDAR,138948.82866004494
ŞİLE,368.56272836611447
EYÜPSULTAN,1519385.1141310039
KÜÇÜKÇEKMECE,25131.25705296405
ŞİLE,3777.048839211942
PENDİK,10120.994940650979
BEŞİKTAŞ,30900.755504474513
PENDİK,139.5798645833191
ŞİLE,1395.9370858986938
SİLİVRİ,5022.339888133026
BAKIRKÖY,11120.874715708595
SİLİVRİ,2388.117604075288
ÜSKÜDAR,7444.080659780489
KADIKÖY,78779.71047931943
ŞİŞLİ,3797.385352677526
ATAŞEHİR,12612.425917376668
SULTANBEYLİ,15731.067907503853
ŞİLE,643.3274235266194
SARIYER,12439.67704280408
KÜÇÜKÇEKMECE,2369.587056104142
KARTAL,53581.86290139241
TUZLA,48828.998669738176
ESENYURT,97082.82777259548
EYÜPSULTAN,2225180.5430243076
BEYOĞLU,2869.3079858796273
BAYRAMPAŞA,37933.52757180403
KARTAL,93882.3403928818
BEYLİKDÜZÜ,200.4869793005975
BEYKOZ,3982.2531660461245
KARTAL,48950.430063543135
ATAŞEHİR,8295.239773121735
BEYKOZ,25921.58532788905
ŞİLE,199.79903626907583
BAĞCILAR,630.6194713300223
ÜSKÜDAR,1773.3649629061817
MALTEPE,6666.090106717778
ÜMRANİYE,229435.47772199218
BEŞİKTAŞ,1568.3383999764148
FATİH,12777.602168747058
BEYKOZ,4774.290017110045
SANCAKTEPE,9383.320966621337
SARIYER,1075120.0705456457
PENDİK,19555.21367974476
SULTANGAZİ,113295.00647808079
SARIYER,2467.0249674977113
BAŞAKŞEHİR,38629.83209456535
SARIYER,19814.785636730005
ŞİLE,11011.650619902748
PENDİK,201.3765009981845
SARIYER,1695.5288147681395
FATİH,8800.461684105596
FATİH,229.01366488297646
KAĞITHANE,409728.84641752543
FATİH,120617.3760898979
BEYKOZ,12314.917278700477
FATİH,10159.057228945167
ESENLER,64962.42977816033
PENDİK,262.00858352902276
ÜSKÜDAR,1112.9461303700646
PENDİK,93605.29181406507
EYÜPSULTAN,5233.463108846611
FATİH,35926.969335133355
ŞİLE,15421.662027691058
EYÜPSULTAN,41116.315679882086
BEYKOZ,121.77809174942234
KARTAL,8868.522406668546
BEYKOZ,528.0616542800915
FATİH,3601.6040160394246
KARTAL,11393.752245559876
KAĞITHANE,40243.46460157579
BEYOĞLU,13268.928801989587
PENDİK,6408.668204823888
MALTEPE,17879.6429784507
ÜMRANİYE,301150.03539469745
ÜMRANİYE,11031.217695796502
SANCAKTEPE,9690.545398390796
ÜSKÜDAR,1692.459382997477
ZEYTİNBURNU,10072.027310253474
KARTAL,311.8988437130605
ŞİLE,2535.526601858909
BEŞİKTAŞ,72155.27815830527
EYÜPSULTAN,26467.428238154775
EYÜPSULTAN,22343.949970969676
BAŞAKŞEHİR,34223.290772501394
BAYRAMPAŞA,898.0513504034785
ÜMRANİYE,36867.483190491344
ŞİLE,444.8728813323037
PENDİK,676.351016875037
ŞİLE,1871.493278081195
KÜÇÜKÇEKMECE,10725.458463176605
SARIYER,5462.044602026992
ŞİLE,2423.9063809263735
BEYLİKDÜZÜ,39104.513243057736
PENDİK,27349.69154258228
BEYLİKDÜZÜ,11869.187722957187
ÜSKÜDAR,882.840619651696
BAĞCILAR,18068.284279651867
BEYLİKDÜZÜ,11038.664120612162
ŞİLE,548.0762130328782
GAZİOSMANPAŞA,7947.042220027087
SARIYER,345723.15429222037
FATİH,25341.666113141353
BEŞİKTAŞ,31190.83866281644
KADIKÖY,1866.3829720402478
MALTEPE,34495.592303141326
AVCILAR,32562.008932110377
ESENYURT,49428.603744515276
GÜNGÖREN,4261.791784969034
EYÜPSULTAN,22998.51699719196
ESENYURT,35005.2231394193
SARIYER,3693.094679293734
BEYOĞLU,22894.68717416265
FATİH,27838.343599696767
KARTAL,15939.953437019292
BEYLİKDÜZÜ,25376.623530511722
PENDİK,46485.743379068845
BEYLİKDÜZÜ,5299.229013570691
KAĞITHANE,87599.10056217022
PENDİK,916.4338943934154
PENDİK,6496.795842861375
ŞİLE,598.6668170075261
KARTAL,24331.580410645503
BEYKOZ,6385.3356040619055
BAĞCILAR,2453.424071429289
KARTAL,99794.52974002904
ÜMRANİYE,3632.041714557684
BAŞAKŞEHİR,1234.437729767247
BAKIRKÖY,18038.355618906164
ÇEKMEKÖY,1931.5878867763945
ÇEKMEKÖY,2238.4089283262447
KARTAL,202940.5049247325
ÜSKÜDAR,4411.065188250504
KAĞITHANE,14216.626093989003
PENDİK,262.56193595248794
PENDİK,528.6908598742883
BÜYÜKÇEKMECE,10452.60258884977
FATİH,90232.69846019735
ŞİŞLİ,2521.642361803088
ÜMRANİYE,11443.446903267797
EYÜPSULTAN,4404.946379450466
ŞİLE,352.5320768165124
SİLİVRİ,749880.1714434603
BEYOĞLU,4261.0411258631375
ÇATALCA,90234.36501181166
ŞİLE,1617.8675240415787
KAĞITHANE,93081.37557695677
SARIYER,1296.5567307845433
SARIYER,3855.3404365784836
ÜSKÜDAR,27882.01473495562
KAĞITHANE,73996.01631301291
BEYOĞLU,5929.038158591855
EYÜPSULTAN,289719.2313866994
PENDİK,3970.2025482446084
ŞİLE,2794.049855445275
BEYKOZ,2103.2404731410184
BEŞİKTAŞ,13924.920225439088
EYÜPSULTAN,8865.918294546507
PENDİK,20913.208554095854
FATİH,522.3025746455247
BAŞAKŞEHİR,41760.23609657683
FATİH,111863.29398625776
BAKIRKÖY,81733.23287062129
BAKIRKÖY,12570.553573779474
BAKIRKÖY,20749.558332984998
BAKIRKÖY,89246.08944021359
ÜSKÜDAR,9042.3904618224
BAYRAMPAŞA,143342.47729360903
BAYRAMPAŞA,3790.3129793563785
SARIYER,9064.895238233143
PENDİK,29644.447661070993
SANCAKTEPE,4670.071427230065
KÜÇÜKÇEKMECE,5642.140612030412
MALTEPE,18986.393134407204
ARNAVUTKÖY,1347.3877130389492
SARIYER,441.4104846244333
ZEYTİNBURNU,56597.49585219923
ÇATALCA,1640.6329411570425
KARTAL,16261.440939609327
TUZLA,52034.212669425935
ÜMRANİYE,4512.2561669434945
BAŞAKŞEHİR,10273.347792374781
BÜYÜKÇEKMECE,32839.16346475332
ESENYURT,49851.361830577414
SİLİVRİ,80348.59128926806
SARIYER,2931.819837129051
TUZLA,1612160.2040349834
FATİH,19189.302615964385
BÜYÜKÇEKMECE,330648.18182606576
ŞİLE,3517.754670876575
KARTAL,4934.716874073338
EYÜPSULTAN,444408.2148756053
BEYLİKDÜZÜ,8782.051423817069
BAHÇELİEVLER,21831.321853590685
ŞİLE,2368.7472636626126
AVCILAR,190080.119504872
BEYOĞLU,44240.60922038684
ŞİLE,2564.49969546855
ÜSKÜDAR,2090.849080703918
BEYKOZ,5549.634615642592
ATAŞEHİR,6142.748907259843
ŞİLE,2030.6683866334715
SARIYER,20636.665917745464
BEYKOZ,2444.4260603962503
BEYKOZ,54993.56360672013
