MAHALLE,alan_metrekare
SURURİ PARKI,12385.076522812378
DALYAN PARKI,111084.67036322893
BEYOĞLU İLÇESİ ÖRNEKTEPE ÖĞRENCİ YURDU BAHÇESİ,1425.473091218883
İSMEM ALKOL VE MADDE BAĞIMLI GENÇLER REHABİLİTASYON MERKEZİ BAHÇESİ,10978.866991572679
ORHANGAZİ ŞEHİR PARKI/BATI 1,249055.6273653394
ALİBEYKÖY LOJİSTİK MERKEZİ,59409.14384928534
HACI BAYRAM VELİ CADDESİ PARKI,11327.013539399135
SANCAKTEPE EYÜP SULTAN SPOR KOMPLEKSİ BAHÇESİ,15990.017919232525
FETİH PARKI,3370.0987457658503
BEYKOZ İLÇE EMNİYET MÜDÜRLÜĞÜ BAHÇESİ,1639.5164994681845
İBB BÜYÜKÇEKMECE TEPECİK ÇEM BAHÇESİ,1469.587436617006
ÇANAKKALE CADDESİ ORTA REFÜJLER,3444.8323884140373
ÜSKÜDAR MİMAR SİNAN MEYDANI,16473.45278440217
BEHÇET KEMAL ÇAĞLAR CADDESİ ORTA REFÜJ VE KAVŞAK,7029.254392199393
ESENYURT DOĞA ENERJİ RMS İSTASYON BAHÇESİ,1883.0088526544516
ESENYURT RMS-4 İSTASYON BAHÇESİ,5313.390144260576
YENİ MAHALLE MUHTARLIK ÇEVRESİ,660.2005232808542
ŞEHİT TEVFİK İNAN PARKI,3234.1044906704633
İBB SULTANGAZİ AMBAR BİNASI VE ÇEVRESİ,11485.141467651381
KASIMPAŞA HAMAM ÖNÜ,257.45860709819016
ÇAYIRBAŞI TÜNEL BAĞLANTISI KAVŞAĞI YAN REFÜJLER,5511.553420459883
ATAKÖY BULVARI (SPOR KOMPLEKSİ KARŞISI) PARK ALANI,26269.70320553952
İBB BAKIRKÖY ŞENLİKKÖY ÇEM BAHÇESİ,1895.0323145082552
VALİDE-İ CEDİD CAMİ BAHÇESİ,6183.793729357114
OSMANİYE KAVŞAĞI - İNCİRLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,63453.07754096335
SBÜ GAZİOSMANPAŞA FİZİK TEDAVİ EĞİTİM VE ARAŞTIRMA HASTANESİ BAHÇESİ,7631.53506093969
ANADOLU KAVAĞI SAHİL PARKI,4496.825979844104
BOZGOCA MAHALLE PARKI,264.0972523372677
SİRKECİ - UNKAPANI ARASI ORTA VE YAN REFÜJLER,5163.883733575678
ÇATLADIKAPI SAHİL PARKI,37827.908577241156
ŞEHİT MEHMET HÜSEYİN BALTA PARKI,4894.253728873142
