station_name,assigned_mahalle,assignment_type
Çarşı,ÇARŞI METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Göztepe Mah.,O3 ORTA REFÜJLER,İçinde (Yeşil Alan Poligonu)
Topkapı,TOPKAPI DEPREM PARKI,İçinde (Yeşil Alan Poligonu)
Mahmutbey,MAHMUTBEY METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Başak Konutları,BAŞAKŞEHİR HÜRRİYET BULVARI ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Kabataş,KARAKÖY - FINDIKLI ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Karadeniz Mah.,KARADENİZ MAHALLESİ METRO ÇIKIŞLARI,İçinde (Yeşil Alan Poligonu)
Darüşşafaka,DARÜŞŞAFAKA METRO İSTASYONU ÇIKIŞI VE ÇEVRESİ,İçinde (Yeşil Alan Poligonu)
Maltepe,MALTEPE KAVŞAĞI,İçinde (Yeşil Alan Poligonu)
Çapa,MİLLET CADDESİ ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Haseki,MİLLET CADDESİ ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Yenisahra,GÖZTEPE KAVŞAĞI - KOZYATAĞI ARASI YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Ümraniye,ÜMRANİYE METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Tavşantepe,PENDİK KAVŞAĞI - TERSANE KAVŞAĞI ARASI YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Fıstık Ağacı,FISTIK AĞACI METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Yenimahalle,YENİ MAHALLE METRO ÇIKIŞI,İçinde (Yeşil Alan Poligonu)
Kozyatağı,KOZYATAĞI KAVŞAĞI - BOSTANCI KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Bağcılar Meydan,BAĞCILAR MEYDANI,İçinde (Yeşil Alan Poligonu)
Bulgurlu,BULGURLU METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Tekstilkent - Giyimkent,METRİS KAVŞAĞI İKİTELLİ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Kısıklı,KISIKLI MEHMET AKİF ERSOY PARKI,İçinde (Yeşil Alan Poligonu)
Çağlayan,ÇAĞLAYAN ADLİYE SARAYI - ABİDEİ HÜRRİYET VE ŞEHİTLİK PARKI,İçinde (Yeşil Alan Poligonu)
Taksim,TAKSİM MEYDANI - ANIT,İçinde (Yeşil Alan Poligonu)
Gülsuyu,GÜLSUYU KAVŞAĞI,İçinde (Yeşil Alan Poligonu)
Acıbadem,HAREM - UZUNÇAYIR KAVŞAĞI ARASI YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Başakşehir - Metrokent,METROKENT METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
İmam Hatip,İMAM HATİP LİSESİ METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Yenikapı,YENİKAPI MARMARAY METRO İSTASYONU,İçinde (Yeşil Alan Poligonu)
Çekmeköy,MADENLER METRO İSTASYONU ÇIKIŞI,İçinde (Yeşil Alan Poligonu)
İDO,KADIKÖY MEYDANI,İçinde (Yeşil Alan Poligonu)
Hastane - Adliye,ANADOLU ADALET SARAYI BAHÇESİ,İçinde (Yeşil Alan Poligonu)
Topkapı - Ulubatlı,VATAN CADDESİ ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Göztepe,GÖZTEPE KAVŞAĞI,İçinde (Yeşil Alan Poligonu)
Sarıgazi,SARIGAZİ METRO İSTASYONU ÇIKIŞI,İçinde (Yeşil Alan Poligonu)
Eyüp,FESHANE ALİBEYKÖY MERKEZ ARASI ORTA VE YAN REFÜJLER,İçinde (Yeşil Alan Poligonu)
Maçka,MAÇKA DEMOKRASİ PARKI,İçinde (Yeşil Alan Poligonu)
