Durak Adı,İlçe
BAHÇEŞEHİR MİGROS TAKSİ DURAAĞI,Başakşehir
ÇİÇEK TAKSİ,Esenyurt
AVCILAR 3 TAKSİ DURAĞI,Avcılar
AVCILAR(6) ISPARTAKULE TAKSI,Avcılar
AVCILAR 1 TAKSİ DURAĞI,Avcılar
KÜÇÜKÇEKMECE MEYDAN YONCA TAKSİ DURAĞI,Küçükçekmece
BASINKÖY TAKSİ DURAĞI,Bakırköy
OLYMPİA TAKSİ DURAĞI,Küçükçekmece
FLORYA TURİZM TAKSİ,Bakırköy
METRO (FİKRET KARABAĞ) TAKSİ DURAĞI,Bakırköy
ATAKENT 2.3 ETAP TAKSI,Küçükçekmece
KONUT TAKSİ,Küçükçekmece
FLORYA FLYİNN TAKSİ DURAĞI,Bakırköy
İSPARK - PENDİK İDO İSKELE ÖNÜ,Pendik
HİLAL TAKSİ DURAĞI,Pendik
YENİDOĞAN MERKEZ TAKSİ DURAĞI,Sancaktepe
HASANPAŞA TAKSİ DURAĞI,Sultanbeyli
SSK TAKSİ DURAĞI,Pendik
EYÜP TAŞOCAĞI TAKSİ,Eyüpsultan
SÜTLÜCE KÜLTÜR TAKSI-1,Beyoğlu
İSPARK - KAĞITHANE ALİBEYKÖY SİLAHTARAĞA BİLGİ ÜNİVERSİTESİ YANI,Eyüpsultan
İSKENDERPAŞA TAKSİ,Fatih
İSPARK HORHOR - FATİH,Fatih
İSPARK YENİ KAPI İDO TAKSİ DURAĞI,Fatih
İSPARK YENİKAPI İDO,Fatih
İSPARK - FATİH BEYAZIT MEYDANI,Fatih
OKMEYDANI MERKEZ TAKSİ DURAĞI,Şişli
KAĞITHANE TERASEVLER TAKSİ DURAĞI,Kağıthane
İSPARK EMİNÖNÜ İETT DURAKLARI,Fatih
KAĞITHANE MERKEZ TAKSİ DURAĞI,Kağıthane
SULTANAHMET İMRAN ÖKTEM SOKAK UMUMA AÇIK TAKSİ DURAĞI,Fatih
ANTHILL Y.E. TAKSİ DURAĞI (GÜL ESKİ ADI),Şişli
REŞADİYE CADDESİ EMİNÖNÜ İDO İSKELESİ ÖNÜ UATD,Fatih
GÜRSEL MERKEZ TAKSİ,Kağıthane
BABIALİ TAKSİ,Fatih
EMİNÖNÜ SAHİL TAKSİ DURAĞI,Fatih
İSPARK - FATİH TCDD SİRKECİ GAR ÖNÜ,Fatih
İSPARK SULTANAHMET DALBASTI SOKAK UMUMA AÇIK TAKSİ DURAĞI,Fatih
BEYOĞLU ATIF YILMAZ CAD.,Beyoğlu
